"Год","Регион","salary","invest"
2006,"Новосибирская обл...",8381.3,7617.6
2006,"Омская область",9084.3,9978.2
2006,"Оренбургская область",6326.3,6085.9
2006,"Орловская область",5972.3,3861.9
2006,"Пензенская область",5603.4,4735
2006,"Пермский край",11122,6646.9
2006,"Псковская область",6422.5,679.9
2006,"Ростовская область",7482.5,16689.9
2006,"Рязанская область",6133.4,1812.8
2006,"Саратовская область",6182,5803.9
2006,"Сахалинская область",16412.4,2608.1
2006,"Свердловская область",11167.6,17123.6
2006,"Смоленская область",6722.8,2751.6
2006,"Тамбовская область",6814.8,5198
2006,"Томская область",9992.4,2903.8
2006,"Ставропольский край",6488.4,7173
2006,"Тульская область",6564.1,2236.3
2006,"Тюменская область",18813.4,24180.1
2006,"Ханты-Мансийский ...",22481.9,6639.7
2006,"Ямало-Ненецкий ав...",27665,5156.8
2006,"Ульяновская область",6137.1,3367.3
2006,"Челябинская область",8655.2,10180.1
2006,"Забайкальский край",7119.2,2173.1
2006,"Агинский Бурятски...",6806.2,415.4
2006,"Чукотский авт.округ",23326.1,539.7
2006,"Ярославская область",8263.5,2380.8
2006,"Республика Адыгея",4731,555
2006,"Хабаровский край",12356.6,4393.4
2006,"Республика Башкор...",8903.6,19643.6
2006,"Республика Бурятия",6989.8,1169.4
2006,"Республика Дагестан",6112.1,11552.2
2006,"Кабардино-Балкарс...",5258.5,2089.6
2006,"Республика Алтай",5557,242.1
2006,"Республика Калмыкия",3456.7,406.6
2006,"Республика Карелия",9127.6,1129.5
2006,"Республика Коми",13782.2,2082.5
2006,"Республика Марий Эл",4896.5,2504.9
2006,"Республика Мордовия",4826.9,2879.9
2006,"Республика Северн...",5976.7,1645.5
2006,"Карачаево-Черкесс...",5196.3,1298.7
2006,"Республика Татарстан",9365.5,16778.6
2006,"Республика Тыва",4819.6,508
2006,"Удмуртская Респуб...",6262,4752.2
2006,"Республика Хакасия",6425.5,1265.3
2006,"Чувашская Республика",5448.8,6748.9
2006,"Республика Саха (...",13554.9,4851.4
2006,"Еврейская автоном...",7623.8,230.4
2007,"Алтайский край",7597.1,7043.4
2007,"Амурская область",9662.3,3335.5
2007,"Ненецкий авт.округ",38038.8,1645.2
2007,"Астраханская область",8638.6,9361
